Message,Value,WPARAM (In),LPARAM (In),WPARAM (Out),LPARAM (Out),LRESULT (Out),MSDN,GitHub
WM_STYLECHANGED,0x007D,Enum GWL (e.g. GWL_EXSTYLE),STYLESTRUCT*,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-stylechanged,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-stylechanged.md
WM_DISPLAYCHANGE,0x007E,image depth in bits per pixel,xResolution: LOWORD. yResolution: HIWORD,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/gdi/wm-displaychange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/gdi/wm-displaychange.md
WM_GETICON,0x007F,Enum ICON (e.g. ICON_BIG),The icon's DPI,NULL,NULL,A handle,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-geticon,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-geticon.md
WM_SETICON,0x0080,Enum ICON (e.g. ICON_BIG),Icon handle,NULL,NULL,A handle,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-seticon,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-seticon.md
WM_NCCREATE,0x0081,NULL,CREATESTRUCT*,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-nccreate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-nccreate.md
WM_NCDESTROY,0x0082,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-ncdestroy,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-ncdestroy.md
WM_NCCALCSIZE,0x0083,TRUE/FALSE,NCCALCSIZE_PARAMS* or RECT*,NULL,NCCALCSIZE_PARAMS* or RECT*,complex,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-nccalcsize,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-nccalcsize.md
WM_NCHITTEST,0x0084,NULL,xPos: LOWORD. yPos: HIWORD,NULL,NULL,HT Enum (e.g. HTBORDER),https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-nchittest,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-nchittest.md
WM_NCPAINT,0x0085,HWND,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/gdi/wm-ncpaint,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/gdi/wm-ncpaint.md
WM_NCACTIVATE,0x0086,TRUE/FALSE,complex,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-ncactivate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-ncactivate.md
WM_GETDLGCODE,0x0087,Enum VK,MSG*,NULL,NULL,Enum DLGC (e.g. DLGC_BUTTON),https://learn.microsoft.com/en-us/windows/win32/dlgbox/wm-getdlgcode,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dlgbox/wm-getdlgcode.md
WM_SYNCPAINT,0x0088,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/gdi/wm-syncpaint,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/gdi/wm-syncpaint.md
WM_NCMOUSEMOVE,0x00A0,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncmousemove,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncmousemove.md
WM_NCLBUTTONDOWN,0x00A1,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-nclbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-nclbuttondown.md
WM_NCLBUTTONUP,0x00A2,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-nclbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-nclbuttonup.md
WM_NCLBUTTONDBLCLK,0x00A3,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-nclbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-nclbuttonup.md
WM_NCRBUTTONDOWN,0x00A4,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncrbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncrbuttondown.md
WM_NCRBUTTONUP,0x00A5,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncrbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncrbuttonup.md
WM_NCRBUTTONDBLCLK,0x00A6,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncrbuttondblclk,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncrbuttondblclk.md
WM_NCMBUTTONDOWN,0x00A7,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncmbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncmbuttondown.md
WM_NCMBUTTONUP,0x00A8,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncmbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncmbuttonup.md
WM_NCMBUTTONDBLCLK,0x00A9,Enum HT,POINTS,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncmbuttondblclk,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncmbuttondblclk.md
WM_NCXBUTTONDOWN,0x00AB,Enum HT: LOWORD. Enum XBUTTON: HIWORD,POINTS,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncxbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncxbuttondown.md
WM_NCXBUTTONUP,0x00AC,Enum HT: LOWORD. Enum XBUTTON: HIWORD,POINTS,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncxbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncxbuttonup.md
WM_NCXBUTTONDBLCLK,0x00AD,Enum HT: LOWORD. Enum XBUTTON: HIWORD,POINTS,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncxbuttondblclk,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncxbuttondblclk.md
WM_INPUT_DEVICE_CHANGE,0x00FE,Enum GIDC_ARRIVAL,HANDLE,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-input-device-change,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-input-device-change.md
WM_INPUT,0x00FF,Enum RIM (e.g. RIM_INPUT),HRAWINPUT,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-input,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-input.md
WM_KEYDOWN,0x0100,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-keydown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-keydown.md
WM_KEYUP,0x0101,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-keyup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-keyup.md
WM_CHAR,0x0102,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-char,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-char.md
WM_DEADCHAR,0x0103,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-deadchar,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-deadchar.md
WM_SYSKEYDOWN,0x0104,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-syskeydown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-syskeydown.md
WM_SYSKEYUP,0x0105,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-syskeyup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-syskeyup.md
WM_SYSCHAR,0x0106,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-syschar,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-syschar.md
WM_SYSDEADCHAR,0x0107,Enum VK,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-sysdeadchar,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-sysdeadchar.md
WM_UNICHAR,0x0109,complex,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-unichar,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-unichar.md
